tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err
77044471,228.01,PC,358.558713,-30.012999,13.199,0.018,1356.102509,0.001335,2.686063,0.000249,2.424327,0.12317
120610833,229.01,PC,5.237503,-35.998265,11.438,0.018,1354.773398,0.000561,3.126068,0.000111,1.693783,0.0351
160074939,230.01,PC,346.319044,-36.945536,8.721,0.019,1366.329788,0.002965,13.340145,0.004364,4.611198,0.546755
204376737,231.01,PC,348.157236,-22.673953,11.409,0.019,1357.394512,0.000268,3.361021,6.30E-05,2.579176,0.022597
402026209,232.01,PC,353.562839,-42.061409,11.778,0.018,1355.184519,0.000153,1.338231,1.40E-05,2.157494,0.013812
415969908,233.01,PC,343.71,-18.9118,11.256,0.04,1365.263091,0.002808,11.665865,0.003883,2.010591,0.3316
12423815,234.01,PC,2.568707,-26.2824,14.569,0.018,1356.088115,0.001478,2.839249,0.00031,1.484886,0.106988
280095254,235.01,PC,46.196133,-73.396554,9.319,0.018,1357.283631,0.001122,20.180235,0.001623,1.69476,0.093836
9727392,236.01,PC,358.444723,-10.884944,11.239,0.019,1355.325711,0.000357,4.534451,0.000118,4.936391,0.025827
305048087,237.01,PC,353.2427,-29.4151,13.458,0.042,1355.24981,0.00261,5.433729,0.001053,1.172585,0.472631
9006668,238.01,PC,349.231362,-18.606628,9.897,0.018,1354.669184,0.002485,1.272419,0.000206,1.404112,0.309772
9725627,239.01,PC,358.408542,-10.118057,10.973,0.019,1356.962278,0.000995,4.15701,0.000336,3.959188,0.09311
101948569,240.01,PC,14.754696,-44.160832,10.593,0.019,1360.113171,0.003046,19.472408,0.004362,3.480887,0.452211
77031414,241.01,PC,354.168219,-34.611234,10.925,0.026,1355.195771,0.000212,1.386653,2.00E-05,2.289876,0.018571
120585579,242.01,PC,4.451491,-38.110851,12.452,0.018,1357.778211,0.000677,6.340315,0.000367,4.249306,0.056679
149010208,243.01,PC,3.394055,-31.334372,11.637,0.019,1356.619165,0.000719,3.437004,0.000173,4.271161,0.043736
118327550,244.01,PC,10.570615,-36.718138,10.317,0.017,1357.365444,0.00269,7.395586,0.001447,1.149398,0.538523
154618248,245.01,PC,345.77877,-33.500373,8.441,0.017,1361.546719,0.001358,8.773772,0.000994,1.035961,0.169075
158623531,246.01,PC,24.168162,-50.659178,11.192,0.018,1355.732521,0.000422,7.872846,0.000122,3.734301,0.037184
160148385,247.01,PC,1.046353,-47.360626,11.857,0.018,1354.319952,0.000573,3.425239,0.000133,2.44683,0.042511
201793781,248.01,PC,34.683547,-54.859771,8.445,0.02,1354.835774,0.001932,5.991198,0.000404,3.462171,0.240267
